,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,en,en,en,en,en,en,en,en,en,en,en
,Rwanda,Paul_Kagame,Umuganda,Uburezi_mu_Rwanda,Kigali,Ubukungu_bw%27U_Rwanda,Ikinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina,Rwanda,Paul_Kagame,Umuganda,Education_in_Rwanda,Kigali,Economy_of_Rwanda,Kinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina
2017-05-22,93,14,,,7,,16,,,,,5420,1141,,139,532,238,207,5,50,13,931
2017-05-23,107,24,,,16,,27,,,,,3194,980,,84,517,184,203,13,51,20,690
2017-05-24,112,23,,,14,,14,,,,,3127,929,,89,518,162,196,9,12,22,681
2017-05-25,65,16,,,8,,23,,,,,3164,831,,91,480,184,190,13,29,22,615
2017-05-26,83,17,,,6,,17,,,,,2978,869,,60,509,165,163,3,15,10,532
2017-05-27,76,21,,,14,,19,,,,,2618,737,,59,443,131,163,9,23,17,685
2017-05-28,95,15,,,12,,17,,,,,2675,895,,60,408,131,150,6,36,10,684
2017-05-29,77,26,,,13,,13,,,,,2889,868,,76,460,133,147,6,24,35,428
2017-05-30,59,9,,,8,,18,,,,,3253,1030,,82,513,151,195,10,31,17,586
2017-05-31,63,17,,,11,,21,,,,,3159,955,,90,504,141,177,2,49,15,570
2017-06-01,93,24,,,12,,18,,,,,3059,844,,83,493,149,212,8,35,17,572
2017-06-02,70,18,,,11,,35,,,,,2675,781,,61,455,121,149,4,26,14,515
2017-06-03,72,30,,,8,,33,,,,,2339,649,,45,406,91,137,9,29,23,318
2017-06-04,62,18,,,9,,16,,,,,3033,876,,44,437,80,131,7,21,65,349
2017-06-05,60,20,,,15,,13,,,,,3260,960,,68,532,143,166,12,39,17,509
2017-06-06,94,12,,,11,,23,,,,,2891,890,,87,544,138,175,13,33,19,586
2017-06-07,67,11,,,15,,17,,,,,3005,956,,66,512,163,191,10,37,21,509
2017-06-08,83,14,,,15,,20,,,,,2973,907,,87,435,139,217,8,45,18,442
2017-06-09,65,19,,,6,,19,,,,,2770,793,,85,459,146,182,12,31,19,401
2017-06-10,72,18,,,6,,14,,,,,2342,663,,51,404,143,157,8,37,16,286
2017-06-11,78,23,,,15,,16,,,,,3444,789,,48,470,465,167,6,48,12,353
2017-06-12,69,17,,,12,,32,,,,,3164,1058,,118,511,186,217,9,49,28,789
2017-06-13,84,22,,,5,,25,,,,,2880,761,,62,839,183,229,8,33,26,407
2017-06-14,74,17,,,4,,15,,,,,2644,809,,94,527,127,185,6,45,20,424
2017-06-15,64,16,,,11,,15,,,,,3020,837,,83,520,162,222,10,27,52,434
2017-06-16,56,23,,,13,,28,,,,,2966,843,,75,533,145,150,2,21,16,506
2017-06-17,62,22,,,8,,23,,,,,2650,1009,,69,460,116,143,6,25,13,516
2017-06-18,60,19,,,13,,14,,,,,2487,958,,59,434,121,131,8,28,12,321
2017-06-19,75,22,,,13,,19,,,,,2795,1118,,66,428,170,151,6,32,13,337
2017-06-20,55,12,,,9,,14,,,,,3032,1015,,60,438,147,164,7,48,21,374
2017-06-21,67,16,,,12,,21,,,,,2887,882,,39,454,106,192,10,38,9,319
2017-06-22,72,44,,,7,,22,,,,,2778,823,,77,445,115,155,9,36,26,292
2017-06-23,71,23,,,15,,31,,,,,3254,859,,101,365,99,183,7,17,10,265
2017-06-24,64,24,,,20,,6,,,,,2375,680,,49,370,100,140,5,18,12,274
2017-06-25,64,46,,,17,,16,,,,,2491,866,,44,338,83,124,7,26,13,306
2017-06-26,85,24,,,13,,16,,,,,2647,818,,66,398,106,148,12,32,14,369
2017-06-27,66,14,,,6,,14,,,,,2695,839,,59,405,139,181,6,28,24,297
2017-06-28,86,20,,,9,,15,,,,,2744,851,,60,411,113,152,4,36,38,440
2017-06-29,81,25,,,21,,17,,,,,3235,959,,76,449,258,177,8,28,40,607
2017-06-30,76,20,,,8,,22,,,,,2476,713,,102,400,107,142,8,16,23,278
2017-07-01,79,25,,,12,,15,,,,,5212,814,,81,423,93,150,4,22,11,335
2017-07-02,70,16,,,14,,14,,,,,2725,784,,66,369,88,127,7,24,11,321
2017-07-03,77,30,,,11,,10,,,,,3179,747,,99,427,87,204,12,32,16,281
2017-07-04,68,43,,,12,,16,,,,,3226,1140,,90,450,114,152,7,40,26,322
2017-07-05,50,34,,,7,,12,,,,,3027,1009,,177,401,126,195,7,25,16,328
2017-07-06,49,33,,,7,,8,,,,,2626,821,,110,399,86,177,7,22,29,273
2017-07-07,73,31,,,14,,16,,,,,2631,942,,59,369,129,157,7,26,16,285
2017-07-08,60,21,,,2,,16,,,,,2519,1002,,61,337,166,136,5,22,18,482
2017-07-09,71,25,,,2,,17,,,,,2751,1094,,56,413,94,150,4,46,22,582
2017-07-10,48,25,,,9,,23,,,,,2995,1168,,84,425,156,166,13,34,26,311
2017-07-11,65,17,,,10,,20,,,,,2862,1054,,66,473,145,232,3,36,15,330
2017-07-12,181,24,,,9,,26,,,,,2923,838,,82,450,101,167,11,23,21,272
2017-07-13,82,44,,,9,,13,,,,,2655,972,,64,370,111,161,12,28,18,296
2017-07-14,65,46,,,6,,12,,,,,3231,2048,,48,492,143,168,6,23,17,266
2017-07-15,56,47,,,14,,14,,,,,2629,1522,,80,428,133,166,10,14,14,266
2017-07-16,49,64,,,5,,19,,,,,2699,1469,,47,411,127,162,5,24,14,349
2017-07-17,65,40,,,5,,24,,,,,3117,1561,,75,512,137,214,11,62,19,403
2017-07-18,61,51,,,10,,19,,,,,3079,1554,,72,484,130,216,8,23,21,380
2017-07-19,72,47,,,16,,14,,,,,3051,1367,,69,409,125,186,18,77,19,400
2017-07-20,59,50,,,4,,17,,,,,2908,1258,,78,488,108,221,3,52,23,491
2017-07-21,63,43,,,12,,22,,,,,2877,1214,,57,508,103,185,7,31,13,290
2017-07-22,70,47,,,5,,17,,,,,2767,1074,,46,348,83,154,6,40,10,337
2017-07-23,66,56,,,14,,16,,,,,4120,1202,,47,372,129,148,7,75,9,385
2017-07-24,74,47,,,12,,14,,,,,3161,1165,,56,876,157,213,8,64,20,372
2017-07-25,86,43,,,11,,15,,,,,2606,1063,,66,446,133,186,9,32,22,296
2017-07-26,73,40,,,14,,16,,,,,2831,1023,,63,463,140,194,9,34,21,284
2017-07-27,100,36,,,11,,19,,,,,2743,983,,75,423,129,189,5,38,20,258
2017-07-28,85,49,,,12,,13,,,,,3763,944,,46,457,120,191,4,20,20,262
2017-07-29,76,49,,,15,,20,,,,,2810,1073,,34,369,98,120,14,66,10,312
2017-07-30,86,40,,,11,,22,,,,,2805,1137,,45,361,105,150,11,44,8,535
2017-07-31,76,50,,,6,,13,,,,,4136,1374,,74,497,166,156,6,57,16,515
2017-08-01,62,52,,,11,,18,,,,,3047,1906,,79,449,160,165,8,44,13,290
2017-08-02,75,52,,,15,,16,,,,,5045,2152,,71,492,189,178,4,81,17,322
2017-08-03,79,52,,,15,,16,,,,,4336,3186,,86,595,215,204,7,50,25,292
2017-08-04,74,78,,,3,,16,,,,,5301,5729,,64,701,210,250,8,51,18,438
2017-08-05,91,95,,,12,,16,,,,,7701,11044,,52,949,358,310,13,88,38,437
2017-08-06,93,60,,,10,,25,,,,,5056,4836,,80,606,223,180,8,45,20,369
2017-08-07,52,40,,,10,,20,,,,,4287,3710,,75,533,203,202,12,58,18,416
2017-08-08,64,49,,,9,,22,,,,,3410,2536,,99,508,171,199,5,63,28,343
