,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,en,en,en,en,en,en,en,en,en,en,en
,Rwanda,Paul_Kagame,Umuganda,Uburezi_mu_Rwanda,Kigali,Ubukungu_bw%27U_Rwanda,Ikinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina,Rwanda,Paul_Kagame,Umuganda,Education_in_Rwanda,Kigali,Economy_of_Rwanda,Kinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina
2017-07-03,77,,,,,,,,,,,3179,,,,,,,,,,
2017-07-04,68,,,,,,,,,,,3226,,,,,,,,,,
2017-07-05,50,,,,,,,,,,,3027,,,,,,,,,,
2017-07-06,49,,,,,,,,,,,2626,,,,,,,,,,
2017-07-07,73,,,,,,,,,,,2631,,,,,,,,,,
2017-07-08,60,,,,,,,,,,,2519,,,,,,,,,,
2017-07-09,71,,,,,,,,,,,2751,,,,,,,,,,
2017-07-10,48,,,,,,,,,,,2995,,,,,,,,,,
2017-07-11,65,,,,,,,,,,,2862,,,,,,,,,,
2017-07-12,181,,,,,,,,,,,2923,,,,,,,,,,
2017-07-13,82,,,,,,,,,,,2655,,,,,,,,,,
2017-07-14,65,,,,,,,,,,,3231,,,,,,,,,,
2017-07-15,56,,,,,,,,,,,2629,,,,,,,,,,
2017-07-16,49,,,,,,,,,,,2699,,,,,,,,,,
2017-07-17,65,,,,,,,,,,,3117,,,,,,,,,,
2017-07-18,61,,,,,,,,,,,3079,,,,,,,,,,
2017-07-19,72,,,,,,,,,,,3051,,,,,,,,,,
2017-07-20,59,,,,,,,,,,,2908,,,,,,,,,,
2017-07-21,63,,,,,,,,,,,2877,,,,,,,,,,
2017-07-22,70,,,,,,,,,,,2767,,,,,,,,,,
2017-07-23,66,,,,,,,,,,,4120,,,,,,,,,,
2017-07-24,74,,,,,,,,,,,3161,,,,,,,,,,
2017-07-25,86,,,,,,,,,,,2606,,,,,,,,,,
2017-07-26,73,,,,,,,,,,,2831,,,,,,,,,,
2017-07-27,100,,,,,,,,,,,2743,,,,,,,,,,
2017-07-28,85,,,,,,,,,,,3763,,,,,,,,,,
2017-07-29,76,,,,,,,,,,,2810,,,,,,,,,,
2017-07-30,86,,,,,,,,,,,2805,,,,,,,,,,
2017-07-31,76,,,,,,,,,,,4136,,,,,,,,,,
2017-08-01,62,,,,,,,,,,,3047,,,,,,,,,,
2017-08-02,75,,,,,,,,,,,5045,,,,,,,,,,
2017-08-03,79,,,,,,,,,,,4336,,,,,,,,,,
2017-08-04,74,,,,,,,,,,,5301,,,,,,,,,,
2017-08-05,91,,,,,,,,,,,7701,,,,,,,,,,
2017-08-06,93,,,,,,,,,,,5056,,,,,,,,,,
2017-08-07,52,,,,,,,,,,,4287,,,,,,,,,,
2017-08-08,64,,,,,,,,,,,3410,,,,,,,,,,
2017-08-09,104,,,,,,,,,,,3034,,,,,,,,,,
2017-08-10,77,,,,,,,,,,,2994,,,,,,,,,,
2017-08-11,47,,,,,,,,,,,3009,,,,,,,,,,
2017-08-12,59,,,,,,,,,,,2587,,,,,,,,,,
2017-08-13,49,,,,,,,,,,,4691,,,,,,,,,,
2017-08-14,47,,,,,,,,,,,3765,,,,,,,,,,
2017-08-15,51,,,,,,,,,,,3244,,,,,,,,,,
2017-08-16,45,,,,,,,,,,,3863,,,,,,,,,,
2017-08-17,81,,,,,,,,,,,2866,,,,,,,,,,
2017-08-18,74,,,,,,,,,,,3224,,,,,,,,,,
2017-08-19,67,,,,,,,,,,,2733,,,,,,,,,,
